OBJECTID,Shape,nid_id,state_id,dam_name,alt_name,dam_type,longitude,latitude,no_structures,other_struct_id,county,town,river_stream,purposes,drinking_water,dam_type_dem,length_ft,ht_ft_est,ht_ft,struct_htft,hyd_htft,spill_wft,spill_htft,spill_max_dft,norm_storac_ft,max_storac_ft,norm_surf_areaac,drn_areasq_mi,sw_max_cfs,outmaxcfs,freshetcfs,hist_hazard,hist_source,hazard,hazard_source,comment,regulated,active,permit_authority,insp_authority,enforce_authority,size,ds_jurisdiction,state_regulatory_agency,fed_regulatory_agency,yr_modified,spill_type,outlet_gates,nearest_city_town,dist_to_city_town,non_fed_on_fed_prop,nrcs,state,fish_passage_modification,fishway_material,other_fish_passage_modification,type_of_removal,removed,regauth,owntype1,owntype2,owntype3,mgmtunit,locstatus,dam_status,dam_no,quad_no,town_no,sbas_no,rbas_no,mbas_no,year_removed,removed_ar,nid_recordid,dam_former_name,stateid,section,county_nid,river,distance,owner_name,owner_type,dam_designer,private_dam,dam_type_nid,core,foundation,purposes_nid,year_completed,year_modified,dam_length,dam_height,year_modified_1,hydraulic_height,nid_height,max_discharge,max_storage,normal_storage,nid_storage,surface_area,drainage_area,eap,inspection_date,inspection_frequency,state_reg_dam,state_reg_agency,spillway_type,spillway_width,outlet_gates_nid,volume,number_of_locks,length_of_locks,width_of_locks,fed_funding,fed_design,fed_construction,fed_regulatory,fed_inspection,fed_operation,fed_owner,fed_other,source_agency,submit_date,url_address,cong_name,party,cong_dist,otherstructureid,numseparatestructures,permittingauthority,inspectionauthority,enforcementauthority,jurisdictionaldam,eap_last_rev_date,dam_atlas_id
2754,"(-72.04792199999997, 42.07162764000003)",MA02377,,,,,-72.04792199999997,42.07162764000003,,,,Southbridge,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Southbridge,,NOT Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2754
2755,"(-72.03045087999993, 42.082825280000066)",MA02378,,,,,-72.03045087999993,42.082825280000066,,,,Southbridge,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Southbridge,,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2755
2756,"(-71.99160278999994, 42.24176834000008)",MA02379,,MUZZY MEADOW DAM,,,-71.99160278999994,42.24176834000008,,,,Spencer,,,,,,,,,,,,,,,,,,,,,,High,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Private,Private,,Verified,,,,,,,,,,31116.0,,,SPENCER,,UNNAMED TRIBUTARY SEVEN MILE RIVER,0.0,TOWN OF SPENCER,L,,,RE,X,U,R,,,220.0,13.0,,8.0,13.0,,76.0,24.0,76.0,7.3,0.73,Y,2017-09-08,2.0,Y,DEPARTMENT OF CONSERVATION AND RECREATION,U,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,MA,03-JUL-18,,James P. McGovern (D),D,MA02,,0.0,Y,Y,Y,Y,31-MAR-16,2756
2757,"(-72.03921056999997, 42.07504469000003)",MA02380,,,,,-72.03921056999997,42.07504469000003,,,,Sturbridge,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Private,Private,,NOT Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2757
2758,"(-72.21652699999999, 42.07352100000003)",MA02381,,SHAWVILLE POND DAM,,,-72.21652699999999,42.07352100000003,,,,Wales,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Municipality,Town of Wales,Board of Selectmen,Verified,,,,,,,,,,31117.0,,,WALES,,WALES BROOK,0.0,"TOWN OF WALES, BOARD OF SELECTMEN",L,,,RE,X,U,R,,,65.0,13.0,,10.0,13.0,,22.0,10.0,22.0,0.007,2.16,NR,2017-06-20,5.0,Y,DEPARTMENT OF CONSERVATION AND RECREATION,U,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,MA,03-JUL-18,,Richard E. Neal (D),D,MA01,,0.0,Y,Y,Y,Y,,2758
2759,"(-72.23168199999998, 42.06731300000007)",MA02382,,SQUIRES DAM,,,-72.23168199999998,42.06731300000007,,,,Wales,,,,,,,,,,,,,,,,,,,,,,Significant,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Municipality,Town of Wales,Board of Selectmen,Verified,,,,,,,,,,31118.0,,,WALES,,TRIBUTARY OF WALES BROOK,0.0,"TOWN OF WALES, BOARD OF SELECTMEN",L,,,RE,X,U,R,,,300.0,10.0,,4.7,10.0,,29.5,7.5,29.5,0.006,0.14,NR,2017-06-20,5.0,Y,DEPARTMENT OF CONSERVATION AND RECREATION,U,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,MA,03-JUL-18,,Richard E. Neal (D),D,MA01,,0.0,Y,Y,Y,Y,,2759
2760,"(-72.24334443999999, 42.281518850000054)",MA02383,,,,,-72.24334443999999,42.281518850000054,,,,Ware,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,Town of Ware,Department of Public Works,NOT Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760
2761,"(-70.94228999999996, 42.11949800000008)",MA02384,,,,,-70.94228999999996,42.11949800000008,,,,Abington,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Office of Dam Safety,,Private,Private,,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2761
2762,"(-71.33683999999994, 41.92995600000006)",MA02385,,,,,-71.33683999999994,41.92995600000006,,,,Attleboro,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,City of Attleboro,Water Department,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2762
2763,"(-71.33261999999996, 41.932427000000075)",MA02386,,,,,-71.33261999999996,41.932427000000075,,,,Attleboro,,,,,,,,,,,,,,,,,,,,,,Not Available,,,,,,,,,,,,,,,,,,,MA,,,,,False,Non-Jurisdictional - Other,,Municipality,City of Attleboro,Water Department,Verified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2763
